,Player,Yahoo,ESPN,Team
169,Kyle Finnegan,79.0,39.0,WSH
170,Spencer Torkelson,79.0,61.0,DET
171,Wilyer Abreu,79.0,75.0,BOS
172,Jake Burger,79.0,39.0,TEX
173,Yusei Kikuchi,78.0,68.0,LAA
174,Kris Bubic,78.0,71.0,KC
175,Nick Lodolo,78.0,47.0,l c
176,Aroldis Chapman,78.0,47.0,BOS
177,Heliot Ramos,76.0,27.0,SF
178,Ryan Pepiot,76.0,25.0,TB
179,Tyler O'Neill,76.0,31.0,BAL
180,Drew Rasmussen,76.0,47.0,TB
181,Alec Bohm,76.0,69.0,PHI
182,Bryson Stott,75.0,62.0,PHI
183,Jasson Dominguez,75.0,27.0,NYY
184,Yandy Diaz,75.0,62.0,TB
185,Taylor Ward,75.0,56.0,LAA
186,Kristian Campbell,75.0,79.0,BOS
187,Jose Berrios,75.0,58.0,TOR
188,Jeremy Pena,74.0,54.0,HOU
189,Ezequiel Tovar,74.0,18.0,l c
190,Triston Casas,73.0,42.0,BOS
191,Justin Martinez,73.0,67.0,ARI
192,Austin Wells,73.0,46.0,NYY
193,Colton Cowser,73.0,16.0,l c
194,Jose Alvarado,72.0,39.0,PHI
195,Kyren Paris,71.0,58.0,LAA
196,Kerry Carpenter,69.0,50.0,DET
197,George Springer,69.0,72.0,TOR
198,Luis Garcia,69.0,38.0,WSH
199,Gleyber Torres,68.0,68.0,DET
200,Josh Jung,68.0,30.0,TEX
201,Brady Singer,68.0,54.0,CIN
202,Zach Neto,68.0,17.0,LAA
203,Grayson Rodriguez,67.0,50.0,l c
204,Dustin May,67.0,44.0,LAD
205,Trevor Story,66.0,27.0,BOS
206,Ben Rice,65.0,36.0,l c
207,Josh Lowe,64.0,12.0,l c
208,Taj Bradley,64.0,57.0,TB
209,Kirby Yates,62.0,26.0,LAD
210,Alexis Diaz,62.0,44.0,CIN
211,Bowden Francis,62.0,62.0,TOR
212,Brandon Woodruff,62.0,35.0,l c
213,Dylan Crews,61.0,27.0,WSH
214,Luke Jackson,61.0,24.0,TEX
215,Keibert Ruiz,61.0,85.0,WSH
216,Geraldo Perdomo,60.0,66.0,ARI
217,Michael Busch,59.0,26.0,CHC
218,Casey Mize,59.0,43.0,DET
219,Jackson Holliday,58.0,38.0,BAL
220,Lars Nootbaar,58.0,59.0,STL
221,Nathaniel Lowe,57.0,31.0,WSH
222,Clarke Schmidt,57.0,17.0,NYY
223,Tyler Mahle,56.0,45.0,TEX
224,Masyn Winn,55.0,40.0,l c
225,Jack Leiter,55.0,29.0,l c
226,Brandon Lowe,55.0,17.0,TB
227,Spencer Steer,54.0,45.0,CIN
228,Tylor Megill,54.0,27.0,NYM
229,Jonathan Aranda,53.0,20.0,TB
230,Jared Jones,53.0,36.0,l c
231,Jackson Jobe,52.0,22.0,DET
232,A.J. Puk,51.0,30.0,l c
233,Jorge Soler,51.0,17.0,LAA
234,Ceddanne Rafaela,51.0,11.0,BOS
235,Tanner Houck,51.0,43.0,BOS
236,Lourdes Gurriel Jr.,50.0,56.0,ARI
237,Willi Castro,50.0,38.0,l c
238,Walker Buehler,50.0,28.0,BOS
239,Ryan Mountcastle,49.0,10.0,BAL
240,Jeffrey Springs,49.0,19.0,OAK
241,Dylan Moore,49.0,40.0,SEA
242,Jonathan India,48.0,48.0,KC
243,Ivan Herrera,48.0,30.0,l c
244,Max Meyer,47.0,25.0,MIA
245,Max Muncy,46.0,32.0,LAD
246,Reynaldo Lopez,46.0,25.0,l c
247,Maikel Garcia,45.0,67.0,KC
248,Sean Manaea,45.0,38.0,l c
249,Jose Soriano,45.0,24.0,LAA
250,Tyler Fitzgerald,45.0,11.0,SF
251,Max Scherzer,43.0,15.0,l c
252,Hayden Wesneski,43.0,25.0,HOU
253,Sean Murphy,43.0,26.0,ATL
254,Wilmer Flores,43.0,43.0,SF
255,Byron Buxton,42.0,17.0,MIN
256,Jordan Romano,42.0,7.0,PHI
257,Mitch Keller,42.0,59.0,PIT
258,Chris Martin,42.0,15.0,TEX
259,Tyler Stephenson,42.0,32.0,l c
260,Spencer Arrighetti,42.0,12.0,l c
261,Ronel Blanco,41.0,32.0,HOU
262,Gavin Williams,41.0,15.0,CLE
263,Alec Burleson,41.0,37.0,STL
264,Gabriel Moreno,41.0,41.0,ARI
265,Jason Adam,41.0,48.0,SD
266,Jacob Wilson,40.0,37.0,OAK
267,Lane Thomas,40.0,8.0,CLE
268,David Peterson,39.0,18.0,NYM
269,David Bednar,38.0,28.0,PIT
270,Victor Scott II,37.0,16.0,STL
271,Carson Kelly,37.0,49.0,CHC
272,Luis Severino,37.0,25.0,OAK
273,Lucas Erceg,37.0,39.0,KC
274,Michael Toglia,36.0,5.0,COL
275,Emilio Pagan,36.0,9.0,CIN
276,Ranger Suarez,36.0,26.0,l c
277,Luis Rengifo,36.0,13.0,LAA
278,Yu Darvish,35.0,12.0,l c
279,Merrill Kelly,35.0,21.0,ARI
280,Carlos Correa,35.0,49.0,MIN
281,TJ Friedl,34.0,10.0,CIN
282,Grant Holmes,33.0,13.0,ATL
283,Francisco Alvarez,32.0,18.0,l c
284,Matthew Boyd,32.0,15.0,CHC
285,Mitchell Parker,32.0,18.0,WSH
286,Rhys Hoskins,31.0,9.0,MIL
287,Ryan McMahon,30.0,6.0,COL
288,Luis Gil,29.0,25.0,l c
289,Christopher Morel,28.0,20.0,TB
290,Zach McKinstry,28.0,24.0,DET
291,Roman Anthony,28.0,9.0,l c
292,Blake Treinen,28.0,13.0,l c
293,Luke Weaver,28.0,34.0,NYY
294,Cade Smith,28.0,21.0,CLE
295,Sal Frelick,27.0,27.0,MIL
296,Cam Smith,27.0,11.0,HOU
297,Victor Robles,27.0,4.0,l c
298,Landen Roupp,27.0,8.0,SF
299,Chandler Simpson,27.0,13.0,TB
300,Jorge Polanco,26.0,16.0,SEA
301,Michael Wacha,26.0,13.0,KC
302,Tommy Kahnle,26.0,6.0,DET
303,JJ Bleday,26.0,32.0,OAK
304,Otto Lopez,25.0,18.0,MIA
305,Jake Cronenworth,25.0,59.0,l c
306,Shane Bieber,25.0,12.0,l c
307,Andrew Heaney,25.0,21.0,PIT
308,Pavin Smith,24.0,12.0,ARI
309,Taijuan Walker,24.0,14.0,PHI
310,Justin Verlander,24.0,12.0,SF
311,Bryan Abreu,24.0,18.0,HOU
312,Kyle Manzardo,24.0,10.0,CLE
313,Nick Kurtz,24.0,7.0,l c
314,Eury Perez,23.0,5.0,l c
315,Andrew Abbott,23.0,11.0,CIN
316,Reese Olson,23.0,8.0,DET
317,Liam Hendriks,23.0,6.0,BOS
318,Bubba Chandler,22.0,5.0,l c
319,Kumar Rocker,22.0,5.0,TEX
320,Eduardo Rodriguez,22.0,10.0,ARI
321,Hunter Goodman,21.0,8.0,COL
322,Erick Fedde,21.0,12.0,STL
323,Matt Shaw,21.0,18.0,l c
324,Mike Yastrzemski,21.0,18.0,SF
325,Easton Lucas,20.0,12.0,TOR
326,Jameson Taillon,20.0,8.0,CHC
327,Nestor Cortes,20.0,21.0,l c
328,Matt Strahm,19.0,5.0,PHI
329,Clayton Kershaw,19.0,5.0,l c
330,Chase Dollander,19.0,8.0,COL
331,Tyler Holton,19.0,5.0,DET
332,Alex Vesia,19.0,11.0,LAD
333,Zebby Matthews,19.0,2.0,l c
334,Ben Joyce,19.0,5.0,l c
335,Christian Encarnacion-Strand,19.0,3.0,l c
336,Kameron Misner,18.0,13.0,TB
337,Dennis Santana,18.0,3.0,PIT
338,Jake McCarthy,18.0,7.0,ARI
339,Martin Perez,18.0,17.0,l c
340,JP Sears,18.0,7.0,OAK
341,Griffin Jax,18.0,14.0,MIN
342,Jurickson Profar,17.0,22.0,l c
343,Ryan Jeffers,17.0,8.0,MIN
344,Jordan Hicks,17.0,10.0,SF
345,Orion Kerkering,17.0,5.0,PHI
346,Matt Wallner,17.0,3.0,l c
347,Camilo Doval,16.0,5.0,SF
348,Nick Martinez,16.0,23.0,CIN
349,Luis L. Ortiz,16.0,5.0,CLE
350,Brayan Bello,16.0,7.0,l c
351,Jeremiah Estrada,16.0,9.0,SD
352,Gabriel Arias,16.0,11.0,CLE
353,Connor Norby,15.0,9.0,MIA
354,Matthew Liberatore,15.0,9.0,STL
355,Porter Hodge,15.0,9.0,CHC
356,Jose Quintana,15.0,9.0,MIL
357,Jonah Heim,15.0,17.0,TEX
358,Isiah Kiner-Falefa,15.0,14.0,PIT
359,Tony Santillan,15.0,4.0,CIN
360,Michael Conforto,15.0,9.0,LAD
361,Ben Brown,14.0,4.0,CHC
362,Shane Smith,14.0,9.0,CWS
363,Andrew Painter,14.0,3.0,l c
364,Trent Grisham,14.0,16.0,NYY
365,Jordan Walker,14.0,6.0,STL
366,Jose Caballero,14.0,10.0,TB
367,Tyler Rogers,14.0,6.0,SF
368,Hunter Gaddis,14.0,8.0,CLE
369,Whit Merrifield,13.0,0.0,l c
370,Yennier Cano,13.0,6.0,BAL
371,Zack Gelof,13.0,3.0,l c
372,Josh Smith,13.0,5.0,TEX
373,Joey Bart,13.0,3.0,PIT
374,Giancarlo Stanton,13.0,6.0,l c
375,Will Smith,13.0,0.0,l c
376,Nolan Schanuel,12.0,10.0,LAA
377,Colt Keith,12.0,6.0,DET
378,Connor Wong,12.0,3.0,l c
379,Parker Meadows,12.0,4.0,l c
380,Yimi Garcia,12.0,3.0,TOR
381,Alejandro Kirk,11.0,32.0,TOR
382,Joey Ortiz,11.0,7.0,MIL
383,Enrique Hernandez,11.0,3.0,LAD
384,Hyeseong Kim,11.0,3.0,l c
385,Austin Hays,11.0,6.0,CIN
386,Andrew Vaughn,11.0,4.0,CWS
387,Jake Mangum,11.0,7.0,TB
388,Andre Pallante,11.0,8.0,STL
389,Hayden Birdsong,11.0,3.0,SF
390,Jac Caglianone,10.0,3.0,l c
391,Carlos Santana,10.0,15.0,CLE
392,Garrett Mitchell,10.0,5.0,MIL
393,Logan Allen,10.0,8.0,CLE
394,Charlie Morton,10.0,5.0,BAL
395,Seth Halvorsen,10.0,1.0,COL
396,Tyler Anderson,9.0,6.0,LAA
397,Ben Lively,9.0,3.0,CLE
398,Robert Garcia,9.0,3.0,TEX
399,Jordan Lawlar,9.0,2.0,l c
400,Heston Kjerstad,9.0,4.0,l c
401,Kyle Stowers,9.0,5.0,MIA
402,Evan Carter,9.0,2.0,l c
403,Matt Mervis,9.0,4.0,MIA
404,Nolan Jones,9.0,3.0,CLE
405,Caleb Durbin,9.0,2.0,MIL
406,Justin Slaten,9.0,1.0,BOS
407,Jake Irvin,9.0,12.0,WSH
408,Ryan O'Hearn,8.0,5.0,BAL
409,Phil Maton,8.0,3.0,STL
410,Joc Pederson,8.0,3.0,TEX
411,Will Warren,8.0,3.0,NYY
412,Osvaldo Bido,8.0,3.0,OAK
413,Calvin Faucher,8.0,1.0,MIA
414,Thairo Estrada,8.0,3.0,l c
415,Dillon Dingler,8.0,6.0,DET
416,Tomoyuki Sugano,8.0,5.0,BAL
417,Chad Patrick,8.0,4.0,MIL
418,Gavin Sheets,8.0,10.0,SD
419,Fernando Cruz,7.0,3.0,NYY
420,Travis Bazzana,7.0,2.0,l c
421,David Festa,7.0,2.0,MIN
422,Kyle Freeland,7.0,5.0,COL
423,Luke Keaschall,7.0,2.0,MIN
424,Abner Uribe,7.0,2.0,MIL
425,Ryan Weathers,7.0,2.0,l c
426,David Fry,7.0,1.0,l c
427,Zac Veen,7.0,2.0,COL
428,Ty France,7.0,5.0,MIN
429,Marcelo Mayer,7.0,2.0,l c
430,Daulton Varsho,7.0,4.0,l c
431,Ke'Bryan Hayes,7.0,7.0,PIT
432,Zack Littell,7.0,3.0,TB
433,Coby Mayo,7.0,2.0,l c
434,Luke Raley,7.0,2.0,SEA
435,Michael Kopech,7.0,6.0,l c
436,Anthony Banda,6.0,3.0,LAD
437,Jason Foley,6.0,3.0,l c
438,AJ Smith-Shawver,6.0,2.0,l c
439,Josh Bell,6.0,6.0,WSH
440,Michael Lorenzen,6.0,3.0,KC
441,Anthony Bender,6.0,1.0,MIA
442,A.J. Minter,6.0,2.0,NYM
443,Tobias Myers,6.0,3.0,l c
444,Miguel Amaya,6.0,6.0,CHC
445,Gavin Lux,6.0,4.0,CIN
446,Quinn Mathews,6.0,1.0,l c
447,Luisangel Acuna,6.0,3.0,NYM
448,Evan Phillips,6.0,1.0,LAD
449,Sean Burke,6.0,3.0,CWS
450,Griffin Canning,6.0,3.0,NYM
451,Bobby Miller,6.0,2.0,l c
452,Lucas Giolito,6.0,3.0,l c
453,Edmundo Sosa,6.0,7.0,PHI
454,Patrick Bailey,5.0,2.0,SF
455,Eric Lauer,5.0,0.0,l c
456,Kyle Farmer,5.0,2.0,COL
457,Hunter Harvey,5.0,1.0,l c
458,Tony Gonsolin,5.0,2.0,l c
459,Chad Green,5.0,3.0,TOR
460,Edwin Uceta,5.0,1.0,TB
461,Richard Fitts,5.0,2.0,l c
462,Bo Naylor,5.0,3.0,CLE
463,Lance McCullers Jr.,5.0,2.0,l c
464,Deyvison De Los Santos,5.0,0.0,l c
465,Reed Garrett,5.0,2.0,NYM
466,Noah Schultz,5.0,1.0,l c
467,Rhett Lowder,5.0,2.0,l c
468,Kyle Bradish,5.0,1.0,l c
469,Kutter Crawford,5.0,3.0,l c
470,Samuel Basallo,5.0,1.0,l c
471,Brendon Little,5.0,2.0,TOR
472,Ha-Seong Kim,5.0,3.0,l c
473,Jeimer Candelario,5.0,5.0,CIN
474,Jesus Sanchez,5.0,2.0,MIA
475,Brandon Marsh,5.0,2.0,l c
476,Graham Ashcraft,5.0,1.0,CIN
477,Jack Dreyer,5.0,3.0,LAD
478,Cade Povich,4.0,2.0,BAL
479,Jo Adell,4.0,2.0,LAA
480,Randy Rodriguez,4.0,1.0,SF
481,Simeon Woods Richardson,4.0,2.0,MIN
482,Max Kepler,4.0,3.0,PHI
483,Alex Call,4.0,6.0,WSH
484,Garrett Whitlock,4.0,2.0,BOS
485,Edward Cabrera,4.0,2.0,MIA
486,Randy Vasquez,4.0,3.0,SD
487,Dean Kremer,4.0,1.0,BAL
488,Brandon Young,4.0,1.0,l c
489,Logan Henderson,4.0,1.0,MIL
490,Brooks Lee,4.0,2.0,MIN
491,J.T. Ginn,4.0,2.0,OAK
492,Jared Koenig,4.0,1.0,MIL
493,Chase Meidroth,4.0,2.0,CWS
494,Kyle Hendricks,4.0,2.0,LAA
495,Masataka Yoshida,4.0,3.0,l c
496,Paul Sewald,4.0,1.0,CLE
497,David Peralta,4.0,0.0,l c
498,Bryan King,4.0,1.0,HOU
499,Carson Williams,4.0,1.0,l c
500,Ben Casparius,3.0,2.0,LAD
501,Adam Duvall,3.0,0.0,l c
502,Dalton Rushing,3.0,1.0,l c
503,Andy Pages,3.0,1.0,LAD
504,Abraham Toro,3.0,0.0,l c
505,Andrew Benintendi,3.0,4.0,CWS
506,Hunter Dobbins,3.0,1.0,l c
507,Jake Meyers,3.0,2.0,HOU
508,Emmanuel Rodriguez,3.0,1.0,l c
509,Brandon Sproat,3.0,1.0,l c
510,Oswaldo Cabrera,3.0,1.0,NYY
511,Kevin Ginkel,3.0,1.0,l c
512,Erik Miller,3.0,1.0,SF
513,Carlos Carrasco,3.0,1.0,NYY
514,Bryan Hudson,3.0,0.0,MIL
515,Bryce Eldridge,3.0,1.0,l c
516,Matt Vierling,3.0,2.0,l c
517,Dylan Lee,3.0,0.0,ATL
518,Quinn Priester,3.0,2.0,MIL
519,Michael McGreevy,3.0,0.0,l c
520,Colin Rea,3.0,1.0,CHC
521,Trey Mancini,3.0,0.0,l c
522,Ryan Gusto,3.0,1.0,HOU
523,Nolan Gorman,3.0,4.0,STL
524,Cody Bradford,3.0,1.0,l c
525,Harrison Bader,3.0,3.0,MIN
526,Mason Montgomery,3.0,1.0,TB
527,Amed Rosario,3.0,2.0,WSH
528,Pedro Pages,3.0,2.0,STL
529,Keegan Akin,3.0,0.0,BAL
530,Joel Payamps,3.0,1.0,MIL
531,Jeff McNeil,3.0,3.0,l c
532,Michael Massey,3.0,1.0,KC
533,Brett Baty,2.0,1.0,NYM
534,Andrew McCutchen,2.0,1.0,PIT
535,LaMonte Wade Jr.,2.0,1.0,SF
536,Leody Taveras,2.0,1.0,TEX
537,Chris Paddack,2.0,1.0,MIN
538,Kyle Hart,2.0,1.0,SD
539,Dylan Floro,2.0,0.0,l c
540,Alex Verdugo,2.0,2.0,ATL
541,Wandy Peralta,2.0,1.0,SD
542,Chase DeLauter,2.0,1.0,l c
543,Miles Mikolas,2.0,2.0,STL
544,Joey Meneses,2.0,0.0,l c
545,Shelby Miller,2.0,1.0,ARI
546,Daniel Lynch,2.0,1.0,KC
547,Tyler Alexander,2.0,2.0,MIL
548,Beau Brieske,2.0,0.0,l c
549,Marcus Stroman,2.0,2.0,l c
550,Jose Trevino,2.0,2.0,CIN
551,Taylor Rogers,2.0,1.0,CIN
552,Spencer Jones,2.0,1.0,l c
553,Ryan Feltner,2.0,1.0,COL
554,Steven Matz,2.0,1.0,STL
555,Trevor Williams,2.0,1.0,WSH
556,Kyle Harrison,2.0,1.0,l c
557,Cole Sands,2.0,1.0,MIN
558,Colson Montgomery,2.0,1.0,l c
559,Angel Martinez,2.0,1.0,CLE
560,Drake Baldwin,2.0,1.0,ATL
561,Yuki Matsui,2.0,1.0,SD
562,Jose Butto,2.0,1.0,NYM
563,Javier Assad,2.0,1.0,l c
564,Chas McCormick,2.0,0.0,HOU
565,Griffin Conine,2.0,1.0,l c
566,Jacob Misiorowski,2.0,1.0,l c
567,Starling Marte,2.0,1.0,NYM
568,Cade Horton,2.0,1.0,l c
569,J.P. Crawford,2.0,3.0,SEA
570,Noelvi Marte,2.0,1.0,CIN
571,Trevor Larnach,2.0,1.0,MIN
572,Mauricio Dubon,2.0,2.0,HOU
573,Danny Jansen,2.0,1.0,TB
574,Aaron Civale,2.0,3.0,l c
575,Matt Brash,2.0,1.0,l c
576,Kyle Teel,2.0,1.0,l c
577,Christian Moore,2.0,1.0,l c
578,Landon Knack,2.0,1.0,l c
579,Jonny DeLuca,2.0,2.0,l c
580,Tim Herrin,2.0,0.0,CLE
581,Adrian Morejon,2.0,1.0,SD
582,Mark Leiter Jr.,2.0,1.0,NYY
583,Seranthony Dominguez,2.0,1.0,BAL
584,Ryne Stanek,2.0,0.0,NYM
585,JoJo Romero,2.0,1.0,STL
586,David Robertson,2.0,0.0,l c
587,Jace Jung,2.0,0.0,l c
588,Nick Gonzales,2.0,2.0,l c
589,Austin Adams,2.0,0.0,l c
590,Alan Roden,2.0,1.0,TOR
591,Spencer Horwitz,2.0,13.0,l c
592,Jacob Young,2.0,1.0,WSH
593,Alek Thomas,2.0,2.0,ARI
594,Robby Snelling,1.0,0.0,l c
595,Gabe Speier,1.0,0.0,SEA
596,Jon Berti,1.0,0.0,CHC
597,Jonathan Cannon,1.0,0.0,CWS
598,Luis Torrens,1.0,1.0,NYM
599,Jon Gray,1.0,1.0,l c
600,Danny Coulombe,1.0,0.0,MIN
601,Tyler Kinley,1.0,0.0,COL
602,Max Muncy,1.0,1.0,OAK
603,Romy Gonzalez,1.0,1.0,BOS
604,German Marquez,1.0,1.0,COL
605,Jett Williams,1.0,0.0,l c
606,Cal Quantrill,1.0,1.0,MIA
607,Alex Cobb,1.0,0.0,l c
608,Tyler Heineman,1.0,0.0,TOR
609,Emerson Hancock,1.0,0.0,SEA
610,Carson Spiers,1.0,1.0,l c
611,Trayce Thompson,1.0,0.0,l c
612,Adael Amador,1.0,0.0,COL
613,Genesis Cabrera,1.0,0.0,l c
614,Carlos Narvaez,1.0,1.0,BOS
615,Adam Frazier,1.0,0.0,PIT
616,Joe Kelly,1.0,0.0,l c
617,Miguel Rojas,1.0,0.0,LAD
618,Ian Seymour,1.0,0.0,l c
619,Trey Sweeney,1.0,1.0,DET
620,Mick Abel,1.0,0.0,l c
621,Jakob Junis,1.0,0.0,CLE
622,Tink Hence,1.0,0.0,l c
623,Ryan Johnson,1.0,0.0,LAA
624,Craig Yoho,1.0,0.0,l c
625,Dedniel Nunez,1.0,0.0,l c
626,Tyler Nevin,1.0,0.0,l c
627,Joe Jimenez,1.0,0.0,l c
628,Cade Cavalli,1.0,0.0,l c
