,Player,Team,Pos,Age,ID,HitTool,Discipline,Power,Speed,Durability
38,Caleb Bartolero,LAA,3B/1B,26.0,680960,101.0,94.0,113.0,100.0,
39,Harold Coll,LAA,3B/2B/SS,24.3,694563,100.0,100.0,104.0,116.0,110.0
40,Slate Alford,LAA,3B,23.2,695477,99.0,,,85.0,
41,Jake Munroe,LAA,3B,22.1,827719,102.0,,,,
42,Greylin De La Paz,LAA,3B,18.5,821000,,,,,
43,Chad Stevens,LAA,SS/3B/2B,26.7,677060,109.0,93.0,102.0,105.0,107.0
44,David Mershon,LAA,SS/2B/CF,22.4,702574,97.0,107.0,84.0,115.0,100.0
45,Arol Vera,LAA,SS/3B/2B,23.1,691186,104.0,90.0,93.0,90.0,100.0
46,Capri Ortiz,LAA,SS/2B,20.6,800194,103.0,92.0,92.0,123.0,101.0
47,John Wimmer,LAA,SS/2B,20.6,814091,97.0,85.0,97.0,104.0,96.0
48,Edgar Alfonso,LAA,SS/3B/LF,21.6,701660,,,,,
49,Joswa Lugo,LAA,SS,18.8,815915,,,,,
50,Luis E. Rodriguez,LAA,SS/2B/3B,20.9,800170,,,,,
51,Cesar Paredes,LAA,SS/2B,17.4,827650,,,,,
52,Matthew Lugo,LAA,CF/LF/RF,24.5,683090,105.0,86.0,107.0,106.0,117.0
53,Kyren Paris,LAA,CF/2B/SS,24.0,677347,96.0,100.0,105.0,124.0,96.0
54,Nelson Rada,LAA,CF,20.2,703185,99.0,106.0,72.0,122.0,117.0
55,Tucker Flint,LAA,RF/LF/CF,24.6,687272,95.0,94.0,104.0,102.0,108.0
56,Oscar Colas,LAA,RF/LF,27.1,693049,97.0,92.0,109.0,94.0,106.0
57,Anthony Scull,LAA,CF/LF/RF,21.8,703430,104.0,89.0,99.0,101.0,103.0
58,Caleb Ketchup,LAA,LF/RF/2B,23.8,810053,97.0,98.0,95.0,127.0,94.0
59,David Calabrese,LAA,LF/CF/RF,23.1,683341,100.0,96.0,99.0,107.0,102.0
60,Joe Redfield,LAA,LF/CF/RF,24.0,812470,102.0,100.0,95.0,113.0,83.0
61,Rio Foster,LAA,LF/RF,22.4,815306,97.0,111.0,106.0,97.0,96.0
62,Hayden Alvarez,LAA,CF,18.6,820986,101.0,,,,
63,Raudi Rodriguez,LAA,RF/CF/LF,22.3,804558,100.0,97.0,111.0,121.0,125.0
64,Jorge Ruiz,LAA,LF/RF/CF,21.3,702409,105.0,101.0,89.0,109.0,106.0
65,Isaiah Jackson,LAA,CF/LF/RF,21.5,805365,,,,,
66,Randy De Jesus,LAA,RF/LF,20.7,703194,97.0,88.0,107.0,89.0,106.0
67,Bryan Martinez,LAA,LF/RF/CF,19.9,808115,,,,,
68,Kevyn Castillo,LAA,CF/LF/RF,20.4,800203,100.0,101.0,97.0,106.0,
69,Lucas Ramirez,LAA,RF/CF/LF,19.8,813429,,,,,
70,Edwardo Espinal,LAA,CF/RF/LF,20.0,808103,99.0,,87.0,99.0,79.0
71,Byron Castillo,LAA,CF/RF/LF,20.1,808092,,,,,
72,Yojancel Cabrera,LAA,RF/LF,17.4,829894,,,,,
73,Jackson Holliday,BAL,2B/SS,21.9,702616,100.0,118.0,104.0,108.0,123.0
74,Jordan Westburg,BAL,3B/2B/SS,26.7,676059,101.0,95.0,124.0,95.0,104.0
75,Gunnar Henderson,BAL,SS,24.3,683002,,,,90.0,123.0
76,Adley Rutschman,BAL,C,27.7,668939,,,,76.0,107.0
77,Dylan Beavers,BAL,RF/LF/CF,24.2,687637,106.0,114.0,109.0,108.0,111.0
78,Tyler O'Neill,BAL,RF/LF,30.4,641933,99.0,,,83.0,92.0
79,Colton Cowser,BAL,CF/LF/RF,25.6,681297,104.0,106.0,118.0,102.0,107.0
80,Samuel Basallo,BAL,C/1B,21.2,694212,97.0,100.0,125.0,89.0,107.0
81,Coby Mayo,BAL,1B/3B,23.9,691723,99.0,102.0,126.0,89.0,115.0
82,Alex Jackson,BAL,C,29.9,656577,96.0,88.0,127.0,87.0,90.0
83,Ryan Mountcastle,BAL,1B,28.7,663624,104.0,,,81.0,108.0
84,Dylan Carlson,BAL,LF/RF/CF,27.0,666185,99.0,,,95.0,110.0
85,Jeremiah Jackson,BAL,3B/RF/SS,25.6,669236,105.0,88.0,116.0,102.0,112.0
86,Maverick Handley,BAL,C,27.7,668974,97.0,103.0,86.0,94.0,84.0
87,Creed Willems,BAL,C/1B,22.4,695735,103.0,95.0,110.0,83.0,100.0
88,Connor Pavolony,BAL,C,26.0,680935,97.0,90.0,93.0,85.0,
89,Ethan Anderson,BAL,C/1B,22.1,803175,104.0,107.0,93.0,105.0,94.0
90,Silas Ardoin,BAL,C/1B,25.1,686976,96.0,108.0,93.0,86.0,98.0
91,Ryan Stafford,BAL,C/1B/2B,22.8,701696,99.0,104.0,88.0,121.0,98.0
92,Yasmil Bucce,BAL,C/1B,21.2,698935,96.0,114.0,109.0,87.0,104.0
93,Colin Tuft,BAL,C/1B/LF,22.8,702239,97.0,107.0,94.0,128.0,97.0
94,Ike Irish,BAL,C/RF/1B,21.9,702610,100.0,,,,
95,Caden Bodine,BAL,C,21.9,805207,,,,,
96,Andrew Tess,BAL,C/1B/LF,19.2,811083,,,,,
97,Miguel A. Rodriguez,BAL,C/1B,19.8,808277,102.0,,,96.0,
98,Andres Nolaya,BAL,C/1B/LF,20.6,800438,102.0,,90.0,126.0,86.0
99,Adriander Mejia,BAL,C/1B,19.2,808337,,,,,
100,Juan Ortega,BAL,C/1B,19.6,808302,,,,,
101,Ryan Noda,BAL,1B/RF/LF,29.6,676116,89.0,111.0,119.0,93.0,108.0
102,TT Bowens,BAL,1B/LF/RF,27.4,688449,96.0,88.0,117.0,85.0,97.0
103,Adam Retzbach,BAL,1B/C,25.0,806273,97.0,92.0,104.0,90.0,105.0
104,Victor Figueroa,BAL,1B/RF,21.8,809372,97.0,107.0,111.0,95.0,111.0
105,Aron Estrada,BAL,2B/LF/SS,20.8,800406,106.0,102.0,101.0,123.0,106.0
106,Frederick Bencosme,BAL,2B/SS,22.9,695930,101.0,112.0,95.0,104.0,88.0
107,Brandon Butterworth,BAL,2B/SS/LF,23.2,822578,102.0,98.0,109.0,114.0,111.0
108,Edwin Amparo,BAL,2B/3B/SS,21.1,800348,97.0,99.0,101.0,144.0,92.0
109,Alfredo Velasquez,BAL,2B/SS/3B,21.1,800414,109.0,99.0,89.0,123.0,96.0
110,Fernando Peguero,BAL,2B/LF/3B,20.9,800387,100.0,99.0,77.0,129.0,98.0
111,Edrei Campos,BAL,2B/3B/SS,20.5,800402,96.0,,,110.0,
112,Felix Amparo,BAL,2B/LF/3B,19.7,808118,,,,,
113,Hector Campusano,BAL,2B/1B/LF,18.5,821763,,,,,
114,Max Wagner,BAL,3B/2B,24.2,694484,97.0,95.0,100.0,108.0,90.0
115,Anderson De Los Santos,BAL,3B/1B,21.8,698945,99.0,102.0,101.0,108.0,106.0
116,Luis Almeyda,BAL,3B/2B/1B,19.5,806981,102.0,93.0,102.0,129.0,99.0
117,Joshua Liranzo,BAL,3B/SS/1B,19.2,808162,95.0,101.0,96.0,118.0,100.0
118,Jose Mejia,BAL,3B/2B/LF,20.1,808090,,,,,
119,Jose Luis Perez,BAL,3B/SS/2B,20.5,814545,,,,,
120,Luis Vazquez,BAL,SS/3B/2B,26.1,676679,101.0,95.0,99.0,95.0,94.0
121,Jose Israel Garcia,BAL,SS/CF/3B,27.6,676480,97.0,86.0,115.0,114.0,105.0
122,Carter Young,BAL,SS/3B/2B,24.8,677356,100.0,90.0,91.0,96.0,90.0
123,Griff O'Ferrall,BAL,SS/2B,22.8,803172,102.0,121.0,89.0,122.0,109.0
124,Wehiwa Aloy,BAL,SS/3B,21.7,814450,98.0,,,,
125,Leandro Arias,BAL,SS/3B/2B,20.7,703202,101.0,109.0,87.0,95.0,90.0
126,Cobb Hightower,BAL,SS/2B,20.6,826932,101.0,113.0,89.0,106.0,81.0
127,Elvin Garcia,BAL,SS/3B/2B,18.8,821751,,,,,
128,Colin Yeaman,BAL,SS/3B,21.6,829649,101.0,,,,
129,Wilfri De La Cruz (chc),BAL,SS/3B,18.1,829043,,,,,
130,Emilio Sanchez,BAL,SS/3B/2B,18.6,815916,,,,,
131,Jose Pena,BAL,SS/3B/2B,17.2,829072,,,,,
132,Jaiden Lo Re,BAL,SS,18.7,828318,,,,,
133,Jemone Nuel,BAL,SS/3B/2B,18.8,821688,,,,,
134,DJ Layton,BAL,SS/2B/3B,19.3,816152,,,,,
135,Heston Kjerstad,BAL,LF/RF,26.7,677008,109.0,96.0,107.0,91.0,100.0
136,Daniel Johnson,BAL,RF/CF/LF,30.3,669288,100.0,93.0,115.0,108.0,91.0
137,Enrique Bradfield,BAL,CF/LF,23.9,690961,100.0,116.0,93.0,144.0,89.0
138,Jud Fabian,BAL,CF/RF/LF,25.1,682983,93.0,100.0,109.0,98.0,104.0
139,Reed Trimble,BAL,RF/CF/LF,25.4,701655,103.0,99.0,114.0,121.0,90.0
140,Hudson Haskin,BAL,LF/RF,26.8,681370,95.0,94.0,90.0,105.0,82.0
141,Austin Overn,BAL,CF/RF/LF,22.5,702556,99.0,102.0,104.0,144.0,107.0
142,Tavian Josenberger,BAL,RF/CF/2B,24.0,694444,98.0,118.0,101.0,133.0,86.0
143,Thomas Sosa,BAL,RF/LF/CF,20.8,800449,100.0,95.0,105.0,108.0,87.0
144,Douglas Hodo III,BAL,CF/LF/RF,25.1,683233,99.0,103.0,102.0,124.0,102.0
145,Vance Honeycutt,BAL,CF/LF/RF,22.5,701689,92.0,98.0,97.0,130.0,100.0
146,Nate George,BAL,CF/RF/LF,19.4,825582,105.0,103.0,105.0,152.0,109.0
147,Elis Cuevas,BAL,RF/LF/1B,21.0,800433,100.0,102.0,97.0,136.0,101.0
148,Jake Cunningham,BAL,LF/RF/CF,23.3,801507,96.0,98.0,94.0,132.0,92.0
149,Slater de Brun,BAL,CF,18.4,828173,,,,,
150,Jordan Sanchez,BAL,RF/CF/LF,20.1,820847,,,,,
151,Stiven Martinez,BAL,CF/RF/LF,18.2,815913,91.0,,,,
152,RJ Austin,BAL,CF/2B/1B,21.9,702720,100.0,,,,
153,Raylin Ramos,BAL,RF/CF/LF,20.9,800426,102.0,91.0,94.0,109.0,104.0
154,Cam Lee,BAL,CF/LF/RF,20.0,834852,,,,,
155,Braylin Tavera,BAL,CF/LF/RF,20.7,703178,94.0,104.0,97.0,110.0,107.0
156,Starlin Mieses,BAL,RF/LF,17.6,833069,,,,,
157,Lisandro Sanchez,BAL,CF/RF/LF,18.2,830009,,,,,
158,Angel Garcia,BAL,RF/LF,17.2,830479,,,,,
159,Roman Anthony,BOS,LF/RF/CF,21.5,701350,98.0,117.0,115.0,97.0,113.0
160,Jarren Duran,BOS,LF/CF/RF,29.2,680776,,,,112.0,127.0
161,Trevor Story,BOS,SS/2B,33.0,596115,99.0,,,106.0,118.0
162,Wilyer Abreu,BOS,RF/LF/CF,26.4,677800,97.0,109.0,117.0,97.0,110.0
163,Masataka Yoshida,BOS,LF/RF,32.3,807799,,,,86.0,91.0
164,Carlos Narvaez,BOS,C,26.9,665966,100.0,102.0,101.0,87.0,106.0
165,Triston Casas,BOS,1B,25.8,671213,,,,77.0,82.0
166,Marcelo Mayer,BOS,SS/3B/2B,22.9,691785,100.0,98.0,111.0,95.0,99.0
167,Ceddanne Rafaela,BOS,CF/2B/SS,25.1,678882,105.0,86.0,114.0,114.0,126.0
168,Connor Wong,BOS,C,29.5,657136,,,,85.0,91.0
169,Nathaniel Lowe,BOS,1B,30.3,663993,,,,82.0,129.0
170,Romy Gonzalez,BOS,2B/1B/3B,29.2,663853,100.0,,,106.0,98.0
171,Nathan Eaton,BOS,3B/CF/RF,28.9,681987,99.0,96.0,106.0,116.0,119.0
172,Jason Delay,BOS,C,30.7,641511,107.0,97.0,75.0,83.0,85.0
173,Brooks Brannon,BOS,C/1B,21.5,703477,100.0,87.0,104.0,94.0,93.0
174,Ronald D. Rosario,BOS,C,22.8,691385,100.0,94.0,97.0,90.0,102.0
175,Enderso Lira,BOS,C,22.1,694229,101.0,87.0,86.0,81.0,
176,Andruw Musett,BOS,C/1B,20.0,808104,99.0,99.0,98.0,82.0,99.0
177,Johanfran Garcia,BOS,C,20.9,703190,99.0,88.0,111.0,89.0,
178,Hudson White,BOS,C,23.2,695742,97.0,97.0,93.0,87.0,87.0
179,Gerardo Rodriguez,BOS,C/1B,19.9,808269,106.0,,,91.0,
180,Kleyver Salazar,BOS,C,19.5,808307,100.0,105.0,92.0,88.0,107.0
181,Jorge A. Rodriguez,BOS,C,19.7,821772,,,,,
182,Franklin Primera,BOS,C,18.4,829398,,,,,
183,Nathan Hickey,BOS,1B/C,25.9,687208,100.0,101.0,110.0,86.0,111.0
184,Drew Ehrhard,BOS,1B,26.8,679602,101.0,98.0,94.0,95.0,78.0
185,Tyler Miller,BOS,1B/LF/RF,25.9,682011,103.0,91.0,102.0,96.0,92.0
186,D'Angelo Ortiz,BOS,1B/3B,21.3,808571,104.0,,,94.0,
187,Frederik Jimenez,BOS,1B/LF/RF,21.0,808631,96.0,95.0,99.0,106.0,106.0
188,Josue Brito,BOS,1B/LF/RF,18.6,821147,,,,,
189,Kristian Campbell,BOS,2B/CF/1B,23.4,692225,102.0,106.0,104.0,96.0,121.0
190,David Hamilton,BOS,2B/SS,28.1,666152,98.0,109.0,103.0,151.0,108.0
191,Vaughn Grissom,BOS,2B/SS/3B,24.8,687093,105.0,105.0,98.0,99.0,102.0
192,Max Ferguson,BOS,2B/LF/CF,26.2,681132,96.0,108.0,96.0,119.0,102.0
193,Karson Simas,BOS,2B/RF/LF,24.4,689302,100.0,92.0,88.0,113.0,92.0
194,Justin Riemer,BOS,2B/3B/LF,23.7,811312,97.0,152.0,85.0,97.0,91.0
195,Yoeilin Cespedes,BOS,2B/SS,20.2,806985,102.0,94.0,110.0,105.0,113.0
196,Henry Godbout,BOS,2B/SS,22.0,804995,,,,,
197,Nazzan Zanetello,BOS,2B/SS,20.4,805801,93.0,100.0,101.0,108.0,92.0
198,Edwin Darville,BOS,2B/3B,19.1,823731,,,,,
199,Louis Andujar,BOS,2B,18.1,829943,,,,,
200,Miguel Welch,BOS,2B/CF/LF,17.9,829924,,,,,
201,Mikey Romero,BOS,3B/2B/SS,21.8,702540,102.0,90.0,115.0,95.0,97.0
202,Ahbram Liendo,BOS,3B/SS/2B,21.8,699157,98.0,103.0,89.0,126.0,105.0
203,Freili Encarnacion,BOS,3B/1B/2B,20.8,703175,101.0,86.0,108.0,105.0,107.0
204,Antonio Anderson,BOS,3B/1B,20.4,702995,97.0,93.0,92.0,86.0,98.0
205,Jack Winnay,BOS,3B,22.4,813400,,,,,
206,Christopher Alvarado,BOS,3B/2B,18.4,821260,,,,,
207,Nick Sogard,BOS,SS/3B/RF,28.2,686765,104.0,117.0,88.0,101.0,117.0
208,Tyler McDonough,BOS,SS/LF/2B,26.6,694812,104.0,95.0,94.0,105.0,92.0
209,Franklin Arias,BOS,SS/2B,20.0,808265,107.0,124.0,97.0,102.0,106.0
210,Marvin Alcantara,BOS,SS/2B/3B,21.0,800421,102.0,102.0,88.0,98.0,106.0
211,Starlyn Nunez,BOS,SS/3B/2B,20.1,808245,106.0,87.0,109.0,119.0,113.0
212,Maximus Martin,BOS,SS/2B/CF,22.1,703611,96.0,,,108.0,
213,Mason White,BOS,SS/2B,22.1,702517,103.0,,,96.0,
214,Conrad Cason,BOS,SS/SP,19.2,815359,,,,,
215,Dorian Soto,BOS,SS/3B/2B,17.7,829039,,,,,
216,Hector Ramos,BOS,SS/2B,18.1,829892,,,,,
217,Avinson Pinto,BOS,SS/2B,18.4,821130,,,,,
218,Jhostynxon Garcia,BOS,CF/RF/LF,22.9,691373,101.0,91.0,119.0,100.0,107.0
219,Allan Castro,BOS,CF/RF/LF,22.4,691369,102.0,106.0,101.0,105.0,101.0
220,Corey Rosier,BOS,LF/RF,26.2,681468,99.0,107.0,87.0,118.0,98.0
221,Phillip Sikes,BOS,RF/CF/LF,26.5,689651,100.0,91.0,107.0,108.0,87.0
222,Miguel Bleis,BOS,RF/CF/LF,21.7,694194,100.0,97.0,107.0,124.0,98.0
223,Nelly Taylor,BOS,CF/RF/LF,22.8,807511,95.0,108.0,102.0,121.0,109.0
224,Yophery Rodriguez,BOS,LF/RF/CF,19.9,806983,102.0,104.0,101.0,102.0,103.0
225,Stanley Tucker,BOS,RF/CF/2B,23.5,805964,100.0,102.0,93.0,128.0,
226,Justin Gonzales,BOS,RF/CF/LF,18.8,821100,105.0,106.0,101.0,105.0,114.0
227,Will Turner,BOS,RF/CF/LF,23.1,814444,94.0,128.0,93.0,97.0,
228,Natanael Yuten,BOS,LF/RF,21.1,800256,102.0,86.0,100.0,108.0,100.0
229,Enddy Azocar,BOS,CF/RF/LF,18.7,821150,100.0,91.0,100.0,108.0,109.0
230,Anderson Fermin,BOS,CF/LF/RF,19.2,821112,,,,,
231,Skylar King,BOS,RF/CF/LF,22.0,703455,102.0,,,123.0,
232,Harold Rivas,BOS,CF,17.5,829093,,,,,
233,Conrad Cason,BOS,SS/SP,19.2,815359,,,,,
234,Mike Tauchman,CWS,RF/LF/CF,34.9,643565,100.0,,,85.0,101.0
235,Kyle Teel,CWS,C,23.7,691019,102.0,104.0,99.0,93.0,110.0
236,Colson Montgomery,CWS,SS/3B,23.7,695657,100.0,94.0,112.0,91.0,106.0
237,Miguel Vargas,CWS,3B/1B,26.0,678246,103.0,116.0,108.0,94.0,119.0
238,Andrew Benintendi,CWS,LF/RF,31.3,643217,,,,82.0,111.0
239,Lenyn Sosa,CWS,2B/1B/3B,25.8,672820,99.0,91.0,115.0,83.0,121.0
240,Edgar Quero,CWS,C,22.6,700337,100.0,116.0,95.0,80.0,107.0
241,Brooks Baldwin,CWS,CF/LF/3B,25.2,681460,106.0,100.0,110.0,104.0,114.0
242,Chase Meidroth,CWS,2B/SS,24.3,805367,102.0,136.0,91.0,99.0,114.0
243,Korey Lee,CWS,C,27.3,686676,105.0,86.0,95.0,97.0,97.0
244,Bryan Ramos,CWS,3B,23.6,682868,97.0,99.0,102.0,99.0,107.0
245,Curtis Mead,CWS,3B/1B/2B,25.0,678554,101.0,103.0,106.0,96.0,104.0
246,Derek Hill,CWS,CF/LF/RF,29.8,656537,102.0,94.0,106.0,113.0,93.0
247,Luis Robert,CWS,CF,28.3,673357,,,,116.0,108.0
248,Tim Elko,CWS,1B,26.9,671284,105.0,88.0,122.0,85.0,110.0
249,Adam Hackenberg,CWS,C,26.2,680753,102.0,91.0,84.0,91.0,86.0
250,Michael Turner,CWS,C/1B,27.2,694478,104.0,116.0,91.0,83.0,
251,Jackson Appel,CWS,C,24.2,815096,100.0,122.0,88.0,98.0,93.0
252,Juan J. Gonzalez,CWS,C,24.7,694943,100.0,95.0,92.0,93.0,
253,Calvin Harris,CWS,C,24.0,691941,101.0,99.0,90.0,95.0,98.0
254,Ronny Hernandez,CWS,C,21.0,805082,104.0,105.0,92.0,86.0,96.0
255,Rylan Galvan,CWS,C,22.4,805025,,,,,
256,Stiven Flores,CWS,C,19.9,808696,,,,,
257,Landon Hodge,CWS,C,18.7,821933,,,,,
258,Angelo Hernandez,CWS,C/1B,20.1,808687,,,,,
259,Erasmi Rodriguez,CWS,C,21.5,835409,,,,,
260,Jose Mendoza,CWS,C/1B,17.7,829959,,,,,
261,Ryan Gelanie,CWS,1B/LF,25.4,814436,104.0,101.0,105.0,99.0,115.0
262,Alec Makarewicz,CWS,1B/3B,25.1,701062,106.0,87.0,106.0,98.0,116.0
263,Lyle Miller-Green,CWS,1B,25.2,688509,98.0,106.0,105.0,97.0,102.0
264,Wes Kath,CWS,1B/3B,23.3,695770,97.0,84.0,99.0,93.0,
265,Anthony DePino,CWS,1B,22.7,834962,99.0,,,114.0,
266,Adrian Gil,CWS,1B/C,20.0,808691,94.0,,,,
267,Eduardo Herrera (chw),CWS,1B/3B,19.0,815901,,,,,
268,Jacob J. Gonzalez,CWS,2B/SS/3B,23.4,694378,106.0,115.0,92.0,102.0,115.0
269,Jacob J. Gonzalez,CWS,2B/SS/3B,23.4,694378,106.0,107.0,92.0,102.0,115.0
270,Jacob J. Gonzalez,CWS,2B/SS/3B,23.4,694378,100.0,115.0,92.0,102.0,115.0
271,Jacob J. Gonzalez,CWS,2B/SS/3B,23.4,694378,100.0,107.0,92.0,102.0,115.0
272,Sam Antonacci,CWS,2B/3B/SS,22.7,803011,103.0,128.0,94.0,120.0,109.0
273,Jeral Perez,CWS,2B/SS,21.0,800419,101.0,100.0,113.0,94.0,110.0
274,Ryan Burrowes,CWS,2B/3B/SS,21.2,802018,100.0,93.0,92.0,131.0,102.0
275,Javier Mogollon,CWS,2B/SS,20.0,808684,98.0,102.0,117.0,126.0,79.0
276,Jurdrick Profar,CWS,2B/SS,18.5,821673,,,,,
277,Mario Camilletti,CWS,3B/2B/LF,26.5,680519,102.0,116.0,90.0,89.0,96.0
278,Arxy Hernandez,CWS,3B/SS,22.3,694065,100.0,90.0,94.0,97.0,108.0
279,Alexander Albertus,CWS,3B/SS/2B,21.0,800316,101.0,,,,
280,Alejandro Cruz,CWS,3B/2B,18.8,829078,,,,,
281,Benjamin Cowles,CWS,SS/2B/3B,25.7,701496,102.0,100.0,103.0,107.0,112.0
282,Benjamin Cowles,CWS,SS/2B/3B,25.7,701496,102.0,100.0,97.0,107.0,112.0
283,Benjamin Cowles,CWS,SS/2B/3B,25.7,701496,102.0,84.0,103.0,107.0,112.0
284,Benjamin Cowles,CWS,SS/2B/3B,25.7,701496,102.0,84.0,97.0,107.0,112.0
285,Benjamin Cowles,CWS,SS/2B/3B,25.7,701496,101.0,100.0,103.0,107.0,112.0
286,Benjamin Cowles,CWS,SS/2B/3B,25.7,701496,101.0,100.0,97.0,107.0,112.0
287,Benjamin Cowles,CWS,SS/2B/3B,25.7,701496,101.0,84.0,103.0,107.0,112.0
288,Benjamin Cowles,CWS,SS/2B/3B,25.7,701496,101.0,84.0,97.0,107.0,112.0
289,William Bergolla Jr.,CWS,SS/2B,21.0,703151,110.0,165.0,67.0,117.0,112.0
290,Caleb Bonemer,CWS,SS/3B,20.1,815352,100.0,114.0,114.0,116.0,111.0
291,Kyle Lodise,CWS,SS,22.0,827517,99.0,,,119.0,
292,Wilber Sanchez,CWS,SS/2B/3B,23.7,684712,100.0,94.0,95.0,120.0,81.0
293,Billy Carlson,CWS,SS,19.3,815814,,,,,
294,Colby Shelton,CWS,SS/2B/3B,22.9,701333,102.0,,,107.0,
295,Yordani Soto,CWS,SS,17.2,830027,,,,,
296,D'Angelo Tejada,CWS,SS/3B/2B,20.0,808382,,,,,
297,Caden Connor,CWS,LF/1B/RF,25.3,804645,104.0,115.0,95.0,94.0,118.0
298,Rikuu Nishida,CWS,RF/2B/LF,24.5,807747,103.0,130.0,81.0,118.0,108.0
299,Zach DeLoach,CWS,RF/LF/CF,27.2,676113,107.0,95.0,98.0,99.0,91.0
300,Dru Baker,CWS,CF/RF/LF,25.6,681333,104.0,91.0,86.0,119.0,95.0
301,Braden Montgomery,CWS,CF/RF/LF,22.5,695731,101.0,95.0,107.0,102.0,110.0
302,Samuel Zavala,CWS,CF/RF/LF,21.3,694214,99.0,111.0,101.0,104.0,110.0
303,Jordan Sprinkle,CWS,LF/2B/3B,24.7,688394,101.0,107.0,87.0,144.0,100.0
304,Drake Logan,CWS,RF/CF/LF,25.2,805763,101.0,85.0,100.0,128.0,85.0
305,Matt Hogan,CWS,CF/LF/RF,25.8,681375,95.0,97.0,96.0,107.0,80.0
306,Jacob Burke,CWS,CF/LF/RF,24.7,804240,102.0,94.0,89.0,114.0,89.0
307,Nick McLain,CWS,CF/LF/RF,22.9,695607,97.0,,,,
308,T.J. McCants,CWS,LF/RF/CF,24.4,690996,99.0,93.0,106.0,125.0,93.0
309,Cole McConnell,CWS,LF/RF,25.2,823277,99.0,97.0,93.0,92.0,100.0
310,Eddie Park,CWS,CF/LF/RF,24.2,695023,106.0,116.0,78.0,101.0,
311,Ely Brown,CWS,CF/RF/LF,21.3,836058,101.0,,,120.0,
312,Jaden Fauske,CWS,CF/RF/LF,19.0,828262,,,,,
313,George Wolkow,CWS,RF/CF/LF,19.8,805804,99.0,90.0,111.0,116.0,108.0
314,Casey Saucke,CWS,RF/LF,22.3,695565,101.0,,,96.0,
315,Abraham Nunez Jr.,CWS,CF/RF/LF,19.7,808041,101.0,97.0,93.0,127.0,94.0
